,link,title,canal_nome,canal_link,view_counts,video_date,like,dislike
1538,https://www.youtube.com/watch?v=rZscdOTs3s0,Python For Data Science Full Course | Data Science With Python Full Course In 12 Hours | Simplilearn,#PythonForDataScience,https://www.youtube.com/hashtag/pythonfordatascience,9408.0,20 de dez. de 2020,"403 marcações ""Gostei""","7 marcações ""Não gostei"""
1539,https://www.youtube.com/watch?v=rbFsKB7kwBs,WiDS - Data Science in the real-world: Challenges and Opportunities,DPhi,https://www.youtube.com/channel/UCqBbIn5Er4HevFg1wkeu-8A,419.0,,"22 marcações ""Gostei""","Sem marcações ""Não gostei"""
1540,https://www.youtube.com/watch?v=rce8x01zKUo,Integration of machine learning and AI technology with database | Digital Beats,Digital Beats,https://www.youtube.com/channel/UC0J4IAHbgwGs1YeN38uAbow,182089.0,5 de mar. de 2021,"7 marcações ""Gostei""","6 marcações ""Não gostei"""
1541,https://www.youtube.com/watch?v=rcwlltbsl7k,Belajar Data Science (Kurikulum) #01 - Data Science Masterclass Menggunakan R,#belajardatascience,https://www.youtube.com/hashtag/belajardatascience,19704.0,4 de abr. de 2020,"1.046 marcações ""Gostei""","2 marcações ""Não gostei"""
1542,https://www.youtube.com/watch?v=repvSAPjB-s,Uma jornada rumo à Data Science - Christiano Anderson,Locaweb,https://www.youtube.com/channel/UCqHIy-SOkAgNU3b-PRUL8qA,30834.0,2 de out. de 2017,"1.356 marcações ""Gostei""","17 marcações ""Não gostei"""
1543,https://www.youtube.com/watch?v=rf2X-qfdz2o,Masters in Data Science | TU-Dortmund | Germany,#studyingermany,https://www.youtube.com/hashtag/studyingermany,845.0,4 de jan. de 2021,"38 marcações ""Gostei""","2 marcações ""Não gostei"""
1544,https://www.youtube.com/watch?v=rgMC7PQOKS0,Live Mario Filho - Machine Learning Expert - Competições do Kaggle e como chegar nos tops,EstaTiDados,https://www.youtube.com/channel/UC4jROkPjTvnXRkuo2GAwKXw,429.0,28 de jun. de 2020,"42 marcações ""Gostei""","Sem marcações ""Não gostei"""
1545,https://www.youtube.com/watch?v=rhi_nexCUMI,"Dashboarding with Notebooks, Day 2: Best practices for making dashboards | Kaggle",Kaggle,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,4338.0,,"77 marcações ""Gostei""","Sem marcações ""Não gostei"""
1546,https://www.youtube.com/watch?v=rkXc25Uvyl4,How to Participate in Kaggle Competitions ? | Machine Learning | Data Magic,#kagglecompetition,https://www.youtube.com/hashtag/kagglecompetition,1039.0,9 de out. de 2020,"47 marcações ""Gostei""","Sem marcações ""Não gostei"""
1547,https://www.youtube.com/watch?v=rsFAkkMXWOg,Стоит ли начинать учить Data Science? Плюсы и минусы профессии,envision,https://www.youtube.com/channel/UCaTWB4_peo6lxpec2MN6OQw,5544.0,2 de set. de 2020,"267 marcações ""Gostei""","7 marcações ""Não gostei"""
